distribution,n,k,tolerance,quantile,label,lower_q,upper_q,truth_lower,truth_upper,estimate,in_bound,rank_error
zipf,1000,200,0.020000000000,0.100000000000,p10,0.080000000000,0.120000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,true,0.048000000000
zipf,1000,200,0.020000000000,0.250000000000,p25,0.230000000000,0.270000000000,1001098.766939323628,1002197.533878647257,1002197.533878647257,true,0.028000000000
zipf,1000,200,0.020000000000,0.500000000000,p50,0.480000000000,0.520000000000,1019777.804907825659,1028567.940422414802,1023074.105725796660,true,0.001000000000
zipf,1000,200,0.020000000000,0.750000000000,p75,0.730000000000,0.770000000000,1249420.095226468053,1373580.759370040148,1293370.772799414117,true,0.002000000000
zipf,1000,200,0.020000000000,0.900000000000,p90,0.880000000000,0.920000000000,2756928.335978512652,3724942.009522646666,3116225.125137345865,true,0.002000000000
zipf,1000,200,0.020000000000,1.000000000000,max,0.980000000000,1.000000000000,7725552.435600048862,9939567.818337198347,9939567.818337198347,true,0.000000000000
zipf,5000,200,0.020000000000,0.000000000000,min,0.000000000000,0.020000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,true,0.149400000000
zipf,5000,200,0.020000000000,0.100000000000,p10,0.080000000000,0.120000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,true,0.049400000000
zipf,5000,200,0.020000000000,0.250000000000,p25,0.230000000000,0.270000000000,1002197.533878647257,1003296.300817971001,1002197.533878647257,true,0.013000000000
zipf,5000,200,0.020000000000,0.500000000000,p50,0.480000000000,0.520000000000,1020876.571847149287,1029666.707361738547,1026370.406543767545,true,0.009000000000
zipf,5000,200,0.020000000000,0.750000000000,p75,0.730000000000,0.770000000000,1217555.853986082366,1341716.518129654462,1283481.870345501229,true,0.002000000000
zipf,5000,200,0.020000000000,0.900000000000,p90,0.880000000000,0.920000000000,2413014.283970211167,3492003.418386033271,2829446.953973873518,true,0.000000000000
zipf,5000,200,0.020000000000,1.000000000000,max,0.980000000000,1.000000000000,7137712.123061897233,9987913.563667438924,9531925.283848125488,true,0.002200000000
zipf,20000,200,0.020000000000,0.000000000000,min,0.000000000000,0.020000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,true,0.156600000000
zipf,20000,200,0.020000000000,0.100000000000,p10,0.080000000000,0.120000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,true,0.056600000000
zipf,20000,200,0.020000000000,0.250000000000,p25,0.230000000000,0.270000000000,1002197.533878647257,1002197.533878647257,1002197.533878647257,true,0.022700000000
zipf,20000,200,0.020000000000,0.500000000000,p50,0.480000000000,0.520000000000,1018679.037968502031,1027469.173483091174,1023074.105725796660,true,0.003200000000
zipf,20000,200,0.020000000000,0.750000000000,p75,0.730000000000,0.770000000000,1230741.057257966138,1365889.390794774750,1299963.374435355887,true,0.003150000000
zipf,20000,200,0.020000000000,0.900000000000,p90,0.880000000000,0.920000000000,2489927.969722866546,3619460.383347576484,3159077.035770968068,true,0.006350000000
zipf,20000,200,0.020000000000,1.000000000000,max,0.980000000000,1.000000000000,7489317.543645464815,9979123.428152849898,9590159.931632278487,true,0.003200000000
zipf,100000,200,0.020000000000,0.000000000000,min,0.000000000000,0.020000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,true,0.153450000000
